text,intent,labels,ner
show me the time,datetime_query,22,[]
what's the next event at the library,recommendation_events,80,[]
how can i make your day a little better,general_quirky,36,[]
please contact michael m from my list with this text,email_querycontact,26,"[('michael m', 'PERSON')]"
search earliest trains to brooklyn ny weekends and holidays,transport_query,98,"[('brooklyn', 'GPE')]"
covid cases of,covid_cases,19,[]
what is the cooking time for boiled eggs,cooking_recipe,15,[]
play games of gcc,play_games,67,[]
what is the track information currently,music_query,58,[]
what gun shows are in tulsa,recommendation_events,80,"[('tulsa', 'GPE')]"
get me up in half an hour,alarm_set,2,"[('half an hour', 'TIME')]"
send whatsapp message,send_whatsapp_message,85,[]
What are your functionalities?,what_can_you_do,105,[]
olly please shut off.,general_commandstop,29,[]
send whatsapp message to,send_whatsapp_message,85,[]
fast and the furious,recommendation_movies,82,[]
can you tell me on tuesday to give jane a call,calendar_set,11,"[('tuesday', 'DATE'), ('jane', 'PERSON')]"
uber me to the airport,transport_taxi,99,[]
set the volume to low,audio_volume_down,6,[]
turn on plug,iot_wemo_on,52,[]
please switch off the light,iot_hue_lightoff,48,[]
turn on switch of wemo socket,iot_wemo_on,52,[]
let's suck out the dust,iot_cleaning,44,[]
can you make some coffee,iot_coffee,45,[]
olly will you stop.,general_commandstop,29,"[('olly', 'PERSON')]"
please make me a cup of coffee,iot_coffee,45,[]
do you have a funny joke for me,general_joke,33,[]
set to mute,audio_volume_mute,7,[]
"s1, will you please further explain me about what you said.",general_explain,32,[]
create new contact,email_addcontact,24,[]
desk lamp one off,iot_hue_lightoff,48,"[('one', 'CARDINAL')]"
olly stop please.,general_commandstop,29,[]
tell me the date when this song was recorded,music_query,58,[]
any upcoming events,calendar_query,9,[]
tell me about yours,tell_me_about,93,[]
give me some bowie,music_query,58,[]
whats with my dinner order,takeaway_query,92,[]
what are listed,lists_query,55,[]
"that's all, just stop.",general_commandstop,29,[]
how would the volkswagen golf car look like,qa_definition,75,"[('volkswagen', 'ORG')]"
remove the alarm for tomorrow,alarm_remove,1,"[('tomorrow', 'DATE')]"
